src_domain,tgt_domain,weight,log_weight,is_bridge
abcnews.go.com,alterdestiny.blogspot.com,5.0,1.791759,False
2.bp.blogspot.com,alterdestiny.blogspot.com,267.0,5.590987,False
3.bp.blogspot.com,alterdestiny.blogspot.com,196.0,5.283204,False
4.bp.blogspot.com,alterdestiny.blogspot.com,316.0,5.758902,False
1.bp.blogspot.com,alterdestiny.blogspot.com,119.0,4.787492,False
alterdestiny.blogspot.com,alternet.org,2.0,1.098612,False
abcnews.go.com,althouse.blogspot.com,10.0,2.397895,False
alterdestiny.blogspot.com,amazon.com,194.0,5.273,False
alternet.org,amazon.com,6.0,1.94591,False
althouse.blogspot.com,amazon.com,290.0,5.673323,False
abcnews.go.com,angrybear.blogspot.com,20.0,3.044522,False
alternet.org,angrybear.blogspot.com,9.0,2.302585,False
amazon.com,angrybear.blogspot.com,39.0,3.688879,False
amazon.com,apple.com,264.0,5.57973,False
althouse.blogspot.com,apple.com,4.0,1.609438,False
angrybear.blogspot.com,arstechnica.com,3.0,1.386294,False
amazon.com,arstechnica.com,450.0,6.111467,False
apple.com,arstechnica.com,6.0,1.94591,False
abcnews.go.com,atlasshrugs2000.typepad.com,7.0,2.079442,False
amazon.com,atlasshrugs2000.typepad.com,101.0,4.624973,False
atlasshrugs2000.typepad.com,babbazeesbrain.blogspot.com,13.0,2.639057,False
1.bp.blogspot.com,babbazeesbrain.blogspot.com,625.0,6.43935,False
abcnews.go.com,babbazeesbrain.blogspot.com,36.0,3.610918,False
alternet.org,babbazeesbrain.blogspot.com,6.0,1.94591,False
2.bp.blogspot.com,babbazeesbrain.blogspot.com,590.0,6.381816,False
amazon.com,babbazeesbrain.blogspot.com,41.0,3.73767,False
4.bp.blogspot.com,babbazeesbrain.blogspot.com,562.0,6.33328,False
3.bp.blogspot.com,babbazeesbrain.blogspot.com,585.0,6.37332,False
arstechnica.com,babbazeesbrain.blogspot.com,2.0,1.098612,False
amazon.com,bbc.co.uk,106.0,4.672829,False
althouse.blogspot.com,bbc.co.uk,2.0,1.098612,False
atlasshrugs2000.typepad.com,bbc.co.uk,2.0,1.098612,False
babbazeesbrain.blogspot.com,bbc.co.uk,5.0,1.791759,False
