domain,internal_link_count,degree,betweenness,closeness,eigenvector,pagerank,community
en.wikipedia.org,0,6619.157864999994,494287.62156402244,0.71726307510814,0.20887480922613857,24.79718224281524,2475
youtube.com,62,5415.28598699999,467415.33056648535,0.7075252133436772,0.23997862140884377,26.88423980290268,2475
nytimes.com,655,5161.120706999972,332922.3689971903,0.6868762944831481,0.3448139915405965,23.029300886683977,1368
amazon.com,13974,4050.0386639999665,215478.39159832458,0.6362050924311127,0.30079862495057913,21.209134925312704,3407
washingtonpost.com,4419,3778.5174769999626,188608.8836573248,0.637093957387356,0.05605014169134445,9.440241070312352,1368
blogger.com,0,3777.411873999989,39647.55258810366,0.5394055892355464,0.004095707516122967,4.856564229607582,2475
google.com,10,3605.1552549999487,229629.96085626693,0.6463501063075833,0.1445235842897083,14.552488382384222,3407
twitter.com,0,3105.396343999972,163361.39646700522,0.6059800664451828,0.19428507842568873,19.38521101766797,3407
mahalo.com,223780,3102.886450999977,237374.39612592757,0.5968586387434555,0.0005253129610293897,0.21796129023184238,722
guardian.co.uk,26150,3092.4634129999467,228340.39830136558,0.6248715313463515,0.05884262573057552,8.373050381127213,2561
news.bbc.co.uk,729,2854.181586999967,112852.27931991805,0.6074937552039966,0.03879107836974879,6.550152531119334,2561
online.wsj.com,1072,2688.724466999968,114114.17985191554,0.6082027342447482,0.04336587716989145,7.452817458602607,2561
huffingtonpost.com,15106,2447.6097849999696,116563.11573948589,0.5956890920966689,0.025496441270695128,4.4443507214513325,1368
cnn.com,34247,2434.8305239999763,86479.67320383384,0.5905779504613891,0.019446644765809297,4.438590088046497,1368
latimes.com,398,2205.503393999977,74597.41191566599,0.5876288659793815,0.0544799106595301,5.779049859063726,1368
news.yahoo.com,2207,2174.925830999985,55300.184080208404,0.5772151898734177,0.02954203640241169,5.132323593602046,2561
msnbc.msn.com,143,2157.76564899998,67995.31136680729,0.584709087994871,0.018470995735403718,4.297972998494863,1368
1.bp.blogspot.com,0,2113.0730809999977,20894.902043356844,0.5218137605492776,0.001300567978425726,2.6423450477545742,2475
2.bp.blogspot.com,0,2095.3184999999976,22379.653139292834,0.5085029272372457,0.0013016952640315979,2.6436098567117483,2475
4.bp.blogspot.com,0,2079.5844329999977,21732.36870575149,0.5198062125961812,0.030116115674583447,3.623092296742808,2475
flickr.com,56,2072.0315479999904,53586.69259925662,0.5640946342972012,0.034590446377525605,5.276750434583081,2475
3.bp.blogspot.com,0,2052.567342999996,20773.762815671784,0.5186975686051472,0.03871527760551458,3.858003795843976,2475
imdb.com,0,1894.4827349999869,52664.31911116072,0.566547600559093,0.015843232772985216,3.9264759880695657,1653
reuters.com,71,1884.2603159999858,52633.11110848941,0.5759393748026523,0.04199710435361617,4.924395689746914,770
boston.com,77433,1851.867388999989,76297.36985496824,0.575303579876991,0.014734244402484494,2.721871989839579,722
telegraph.co.uk,352,1818.0165639999896,43913.488698845904,0.5694661255073369,0.020784476346953525,3.88859826423221,2561
bloomberg.com,5377,1756.5268329999888,52672.522545331805,0.5664596273291925,0.020473492161808125,3.624566126058799,770
foxnews.com,467,1712.8253359999885,42282.78882904072,0.5672523713263878,0.02224345208811602,4.061512501750509,2561
salon.com,3342,1687.9837609999909,47929.808247135115,0.5602825986791583,0.014684168128564566,2.5100939904993544,1368
usatoday.com,4106,1578.8343559999896,40197.17583454646,0.5664596273291925,0.022716807794683512,3.223891818140361,722
facebook.com,26,1543.4214149999918,44735.52260148542,0.5566066524259994,0.03750893493976767,5.624817696564937,2475
timesonline.co.uk,95,1474.7995089999931,28492.61807403014,0.5563519902394388,0.05457242964127207,5.11207287121556,2561
abcnews.go.com,1737,1418.9231399999937,25854.557621305263,0.5583958365222715,0.013775420891373739,2.8532273725684774,1368
politico.com,198,1416.8876999999945,20496.271500415165,0.5516407076969605,0.013495729775986396,3.2331877869971333,1368
time.com,4199,1400.7070809999927,28581.478884459597,0.557372039724981,0.022808789213184757,3.430365464173479,1368
babbazeesbrain.blogspot.com,10419,1373.3159129999942,43287.121351425856,0.5443151298119964,1.2597059784153603e-07,0.15086659949125097,2561
news.cnet.com,2931,1364.5192069999935,50106.86293832863,0.54914948065633,0.022308958980003662,2.7975405417833263,3407
gawker.com,10875,1364.2497769999943,34354.06589237706,0.5448842419716207,0.0076276664385075904,1.5728463934326662,1653
washingtonmonthly.com,1328,1346.8502549999946,24684.311154603263,0.5410054871718819,0.0014348723299187783,0.5529584261773277,1368
lefarkins.blogspot.com,49401,1333.7953349999955,24681.316926289783,0.5374981582437012,9.836993658529889e-05,0.20169177106481367,1368
myspace.com,2,1328.3450829999945,28627.76588695212,0.5441527446300716,0.034236061952020065,5.043581385507207,2475
blog.wired.com,1583,1310.5568259999948,47117.22645284282,0.552559830354438,0.01829810324961016,2.3353431013293933,3407
sportsnipe.com,276745,1291.3853510000004,15401.618658055084,0.5226361031518625,1.4093057943653844e-14,0.15000000000000002,722
slate.com,345,1267.9955919999938,32988.956026192674,0.5531463229719484,0.014839585037185408,2.09686852632559,1368
cbsnews.com,944,1240.307543999995,25796.175600792714,0.5520581113801453,0.01039920029218488,2.013820931324877,1368
dailymail.co.uk,56367,1233.926554999996,26114.84828756464,0.5461077844311377,0.015049405916986858,2.921602233271715,2561
sfgate.com,647,1232.2109619999962,26115.615285799362,0.5507246376811594,0.008681233675036258,1.7504734542796536,722
nydailynews.com,20462,1207.6082509999965,21923.327063888235,0.5461077844311377,0.020716498436609138,2.909832882488885,1653
weeklystandard.com,2318,1206.3751239999972,32667.173319830134,0.5438282647584973,0.0015223065070211364,0.6692180950121098,2561
news.google.com,0,1168.9324459999984,23999.819102478603,0.5363128491620112,0.2813572425890146,20.946454431051713,722
nypost.com,0,1161.602898999998,20105.36487138701,0.5407648977171657,0.017259486035234015,2.9878375926301106,1653
jihadwatch.org,3033,1139.526526999999,25792.06780231967,0.5334893243638491,0.00018685914540981534,0.3475832710051691,2561
d-day.blogspot.com,221,1110.958748999999,16767.969545463395,0.5340360122968819,0.00010555605530308706,0.16913912343759108,1368
us.rd.yahoo.com,35317,1067.5096989999993,29629.307373827232,0.5348189415041783,0.06947546815618648,6.007956568404142,3407
thinkprogress.org,1745,1057.3989849999991,13568.36854649533,0.5360764144011756,0.005565177329566126,1.392873489175477,1368
chacha.com,328101,1045.8752249999998,27348.487126453732,0.5325547445255474,2.3371260210250005e-05,0.15454923801637876,722
concurringopinions.com,2041,1035.0599059999988,26394.031954613918,0.5348189415041783,0.00013294816755623137,0.18379882105801867,1368
forbes.com,1031,1026.1951339999996,25044.510718800146,0.5446401911018215,0.013791954175980338,2.2058966704262875,770
whitehouse.gov,126,1017.5362869999997,15761.637133368376,0.5401243707432632,0.02950860588427922,3.7771610323065037,1368
feeds.gothamistllc.com,0,1016.8443579999995,15319.710075798212,0.5242885886749066,2.1756460874416435e-08,0.16085018314087382,722
chicagotribune.com,18588,1000.8625860000004,14896.474156702621,0.539166420336979,0.010181530674205845,2.2038568762890685,722
megite.com,6517,998.266626999999,9179.570545884977,0.5127196064652143,3.760081014086042e-14,0.15252426665538435,3407
downwithtyranny.blogspot.com,2562,993.5589080000002,14800.774495475776,0.5304638650574378,7.127528643406933e-05,0.1892964466571353,1368
npr.org,8545,960.5106140000001,15295.719773574578,0.5410857312370216,0.009756201775811551,1.784165393915423,1368
digg.com,20405,949.7559250000006,9177.725597456956,0.523836875358989,0.04190310646924292,3.6870112698870376,2475
technorati.com,1,945.5497419999997,7000.935901969368,0.5083612040133779,0.008174086694338922,1.9475628258156512,2475
windowintopalestine.blogspot.com,33531,942.352186,17883.512906471926,0.5241379310344828,2.3503903812625134e-07,0.15158791983332948,2561
feedproxy.google.com,12,939.8570119999998,26268.42248302188,0.5309270848493669,0.00939935158205561,1.8174477919587353,2475
dailykos.com,389,939.3543349999995,10844.202308667602,0.5338797014488512,0.002617929114935829,1.191054412079063,1368
digitalspy.co.uk,218945,923.9531149999992,17730.26529095231,0.523836875358989,0.002015457469397065,0.5582398672904091,1653
kennysideshow.blogspot.com,7045,915.6588779999994,16472.02172581058,0.5273200346921075,6.689312873025242e-09,0.15446683203753617,2561
tinyurl.com,0,910.3492849999996,17697.92531851647,0.531933508311461,0.26138429620028264,14.53792552007359,3407
washingtontimes.com,1031,897.0110109999999,9532.881741378254,0.5330216247808299,0.0038954930255107635,1.5802505506248403,2561
classicalvalues.com,2349,896.7355200000001,20257.935880579334,0.5317009182334936,6.572656035136747e-07,0.15418164305468685,2561
ronmwangaguhunga.blogspot.com,803,890.763634,16758.42674763164,0.5278541455650413,3.691633995153853e-14,0.1521119403017503,1653
apple.com,29,888.5922290000003,14663.882565077172,0.5299244625217897,0.07593381246506917,4.585640875976694,3407
thepoliticalcarnival.blogspot.com,28415,885.3004970000007,8942.940296079078,0.5219630848476177,0.00043009856238777205,0.24916107837935247,1368
money.cnn.com,2635,872.5413260000004,13146.734611898584,0.5341142020497803,0.014013038502615132,1.9304208862119785,770
microsoft.com,10,867.5167539999999,13336.510031188101,0.5262550490478938,0.08491325560294676,4.887686327340178,3407
techcrunch.com,706,861.8168830000005,15861.496367538455,0.531545971149643,0.024212595025250885,2.3840346246666164,3407
blogs.abcnews.com,962,861.6961130000003,8070.516292843447,0.5325547445255474,0.011166702675426384,1.5858091928258617,1368
xnerg.blogspot.com,341,857.9369879999999,14142.304982707576,0.5293861558554637,5.30372473462254e-07,0.1575701153495988,1368
businessweek.com,1622,850.615501000001,15469.696625397753,0.5341924147020062,0.0071006186292642895,1.3983162107188987,3407
pbs.org,363,850.5545820000004,13038.654958051808,0.5367863449087699,0.01191502476595176,1.9086706548934431,1368
sepiamutiny.com,2163,846.7351099999994,17846.48960447088,0.5281598378456638,8.384482390914565e-08,0.15862521811280553,1653
joshingpolitics.blogspot.com,39879,846.3285839999993,11295.161956177668,0.5257999423464975,1.4093057943653844e-14,0.15000000000000002,1368
superpunch.blogspot.com,63896,844.8781899999999,15502.859768183034,0.5261032593019902,7.97954361080311e-05,0.17274063471442933,2475
rss.feedsportal.com,167,842.3197179999999,24429.147793390148,0.5224115709580409,5.912785306415266e-05,0.20932905896295748,3407
icestationtango.blogspot.com,17137,840.2689810000007,11755.208944070826,0.5273962700592743,3.34198853569278e-14,0.15167946890653866,1368
i.gizmodo.com,4755,838.422797,14404.299386713872,0.5240626346789254,0.010486057102975862,1.020291147160189,3407
ft.com,153,826.9892360000005,10905.590183889477,0.5305410122164049,0.027144680241516377,2.719204391818022,770
djtechnocrat.blogspot.com,21116,812.6298440000007,17297.286047322024,0.5228608284362907,1.4093057943653844e-14,0.15000000000000002,3407
forum.dvdtalk.com,100946,812.5586639999997,16113.029395257407,0.5217391304347826,1.4093057943653844e-14,0.15000000000000002,1653
realclearpolitics.com,843,811.8671760000009,10464.354567234433,0.5281598378456638,0.0013423648739267957,0.6754210983286679,1368
blogs.wsj.com,291,805.8262510000009,12094.923929727252,0.5327102803738317,0.009459099159748673,1.48868355557924,770
psycmeistr.blogspot.com,18628,795.6507640000002,12690.579371578571,0.5237616654702082,5.267456572382457e-07,0.1517965037015915,2561
maps.google.com,0,788.1451250000006,12785.365214967196,0.5257999423464975,0.015366087342717013,2.5180723885972136,2475
edition.cnn.com,18238,784.9672269999999,11285.162013796327,0.5306953738725633,0.005669174969767281,1.2310959284156109,722
photos1.blogger.com,0,781.7359150000002,3138.6277970641154,0.4563993494307519,0.00014643437761271866,0.8592840460902365,2475
topics.nytimes.com,35,779.0957460000001,6974.218726257481,0.5130801687763713,0.19369488199057877,8.343116618453578,1368
theplaylist.blogspot.com,156491,775.9323879999997,6961.789563266752,0.5118563210326926,0.0007356576852097293,0.2842694042439733,1653
usnews.com,1891,768.7742810000005,10835.13545807186,0.5310816712767507,0.003391933470195041,0.8399445328145314,1368
bbc.co.uk,2454,765.3997280000007,11981.911379774032,0.528695652173913,0.017131192594984336,2.1418596658737163,2561
newsbusters.org,28117,765.2696700000002,10463.263869718186,0.5254969749351772,0.0005830551293767398,0.613418096488673,2561
capitalfax.blogspot.com,17806,750.1087390000004,9348.637602412877,0.5174468085106383,4.683093109976298e-08,0.15073889071231786,722
theragblog.blogspot.com,40266,746.0898220000008,10903.852706747299,0.520919605883193,6.007490342067786e-14,0.15493753883046626,1368
independent.co.uk,36,745.064251000001,8269.539688698527,0.5259515570934256,0.008594107216770171,1.7591612692479712,2561
fivethirtyeight.com,1177,740.0806040000002,7922.056877487443,0.5221872316060693,0.0023103072041710682,0.5674261467425105,1368
cinie.wordpress.com,366,737.8767359999997,4884.92370833154,0.5135135135135135,1.4093057943653844e-14,0.15000000000000002,1368
newsweek.com,1064,737.7561870000008,8939.14639328157,0.5320886814469078,0.0073469867415405605,1.447568365985561,1368
examiner.com,9668,737.643863000001,14544.856996951317,0.5303096380287833,0.010208362896812975,1.1287561854651276,722
wikiality.com,57393,721.0760389999994,5188.483763715437,0.5170068027210885,1.8080402859843755e-06,0.15069423402376297,1368
nomoremister.blogspot.com,231,720.6116290000002,8617.392135133985,0.5223367697594502,1.1586955594390364e-05,0.16284431605729252,1368
reason.com,1146,714.2468790000007,11764.344223798787,0.5289256198347108,0.0023909724632846675,0.6714121102151513,2561
seekingalpha.com,6271,712.0609990000011,15202.772975739967,0.5245147375988497,0.004706097906863366,0.5705097143835944,770
nymag.com,2423,703.623731000001,8833.03287774217,0.5257999423464975,0.01024533215699496,1.1954138644389924,1653
voices.washingtonpost.com,40,696.7801600000009,7476.845808140193,0.5292325547657043,0.005891573085561184,1.4522076374455963,1368
hotair.com,230,695.1702650000005,5413.835018959146,0.5232358003442341,0.0014332253797421758,0.9634950006432837,2561
sports.espn.go.com,8014,693.633940000001,6130.363269579787,0.5215153681200858,0.14844517869981588,6.241739409444463,722
technologyexpert.blogspot.com,27412,692.6323810000008,13720.449235792887,0.5167138810198301,0.0005537252399008198,0.19293959207580844,3407
jezebel.com,3893,687.7256800000006,7502.957733694032,0.5194361384023921,0.0018424500687322645,0.5111458256132504,1653
economist.com,591,687.225519000001,10251.657832309002,0.5280833815865663,0.005372983008042689,1.232825041659097,770
greenwichroundup.blogspot.com,49553,683.8255749999997,7193.08803768268,0.5130080157502461,1.5887237574337747e-13,0.15540690830785814,722
wheelgun.blogspot.com,17569,681.9458070000011,10757.800718748804,0.5191404582325316,1.4093057943653844e-14,0.15000000000000002,722
scienceblogs.com,3257,680.1299080000008,11879.868327825849,0.525875738791985,0.001124514916156342,0.6689048461973136,1731
vimeo.com,1,675.3040760000013,8664.806944263108,0.5122156697556866,0.005449259446991281,1.3720303596663452,2475
atlasshrugs2000.typepad.com,2386,671.3192390000007,10353.986992050906,0.520919605883193,3.480278846259726e-05,0.2988790539846266,2561
tundratabloid.blogspot.com,36956,669.5504100000004,6696.770887695685,0.5127196064652143,1.7008560773140124e-06,0.17034141921548213,2561
otherclub.blogspot.com,27857,665.4520120000008,6076.891666850188,0.5140200084542764,1.4093057943653844e-14,0.15000000000000002,2561
philly.com,1523,659.293355000001,7533.723942493989,0.5254969749351772,0.006129291681874147,0.9722303321963647,722
nandigramunited.blogspot.com,5127,658.2726470000007,11567.056165422628,0.5173734222096157,4.3145655893824135e-14,0.15311967318877118,2561
holycoast.blogspot.com,634,651.3522210000006,6918.4057459077685,0.5164212910532276,1.653986964328764e-05,0.15375881094807983,2561
alternet.org,3740,648.2646530000009,6389.324469913678,0.5239873599540362,0.004018832803113789,0.7352017168414209,1368
