year,min_code,min_name,total_budget_million_baht,total_disbursed_million_baht
2559,03000,กระทรวงการคลัง,199174.0666,195613.0801259801
2560,03000,กระทรวงการคลัง,217713.61209999997,216232.64711777997
2561,03000,กระทรวงการคลัง,284391.5235,236677.95721944
2562,03000,กระทรวงการคลัง,242947.9925,241558.08662529
2563,03000,กระทรวงการคลัง,249201.3484,211554.02488343
2564,03000,กระทรวงการคลัง,268440.1769,266634.04111508
2565,03000,กระทรวงการคลัง,273602.8224,271398.83976057003
2566,03000,กระทรวงการคลัง,285154.718,283582.90671694
2567,03000,กระทรวงการคลัง,327020.54750000004,324693.07030584
2568,03000,กระทรวงการคลัง,389659.6761,388174.17149047
2569,03000,กระทรวงการคลัง,429269.61679999996,386530.94718312
2559,05000,กระทรวงการท่องเที่ยวและกีฬา,7136.7527,5304.76767153
2560,05000,กระทรวงการท่องเที่ยวและกีฬา,6695.1638,4969.57116598
2561,05000,กระทรวงการท่องเที่ยวและกีฬา,6749.2016,5076.40638894
2562,05000,กระทรวงการท่องเที่ยวและกีฬา,6074.9973,5155.50248161
2563,05000,กระทรวงการท่องเที่ยวและกีฬา,5888.9023,5041.55990796
2564,05000,กระทรวงการท่องเที่ยวและกีฬา,6092.6778,4891.15653533
2565,05000,กระทรวงการท่องเที่ยวและกีฬา,5092.8573,4495.94003194
2566,05000,กระทรวงการท่องเที่ยวและกีฬา,5295.5348,4522.71882343
2567,05000,กระทรวงการท่องเที่ยวและกีฬา,5417.7301,4456.042152489999
2568,05000,กระทรวงการท่องเที่ยวและกีฬา,6394.6787,5311.70982655
2569,05000,กระทรวงการท่องเที่ยวและกีฬา,6613.0804,3775.81362839
2559,07000,กระทรวงเกษตรและสหกรณ์,86403.6833,79922.45318861
2560,07000,กระทรวงเกษตรและสหกรณ์,94417.8817,81744.88197567
2561,07000,กระทรวงเกษตรและสหกรณ์,124881.2132,97213.35470936999
2562,07000,กระทรวงเกษตรและสหกรณ์,108996.9008,95982.525764079
2563,07000,กระทรวงเกษตรและสหกรณ์,108074.1976,91440.14676989001
