year_ce,ministry,budget_yoy_pct
2016,กระทรวงการคลัง,
2017,กระทรวงการคลัง,9.30821256827219
2018,กระทรวงการคลัง,30.626432016282745
2019,กระทรวงการคลัง,-14.572702621356438
2020,กระทรวงการคลัง,2.5739483729218193
2021,กระทรวงการคลัง,7.7201943823832275
2022,กระทรวงการคลัง,1.9232014967428546
2023,กระทรวงการคลัง,4.222140509614847
2024,กระทรวงการคลัง,14.681794428524952
2025,กระทรวงการคลัง,19.154493220338065
2026,กระทรวงการคลัง,10.165265520016176
2016,กระทรวงการท่องเที่ยวและกีฬา,
2017,กระทรวงการท่องเที่ยวและกีฬา,-6.187532601486945
2018,กระทรวงการท่องเที่ยวและกีฬา,0.8071169222177987
2019,กระทรวงการท่องเที่ยวและกีฬา,-9.989393412103741
2020,กระทรวงการท่องเที่ยวและกีฬา,-3.0632935425337626
2021,กระทรวงการท่องเที่ยวและกีฬา,3.460330798831568
2022,กระทรวงการท่องเที่ยวและกีฬา,-16.41019815621959
2023,กระทรวงการท่องเที่ยวและกีฬา,3.9796422334472448
2024,กระทรวงการท่องเที่ยวและกีฬา,2.307515758370604
2025,กระทรวงการท่องเที่ยวและกีฬา,18.032433915451062
2026,กระทรวงการท่องเที่ยวและกีฬา,3.415366279466081
2016,กระทรวงเกษตรและสหกรณ์,
2017,กระทรวงเกษตรและสหกรณ์,9.275297179373831
2018,กระทรวงเกษตรและสหกรณ์,32.26436661308829
2019,กระทรวงเกษตรและสหกรณ์,-12.719537224995502
2020,กระทรวงเกษตรและสหกรณ์,-0.8465407669646319
2021,กระทรวงเกษตรและสหกรณ์,2.4583933621543874
2022,กระทรวงเกษตรและสหกรณ์,-0.7933343993694164
2023,กระทรวงเกษตรและสหกรณ์,16.64133237453718
2024,กระทรวงเกษตรและสหกรณ์,-7.577873777938892
2025,กระทรวงเกษตรและสหกรณ์,3.5496789179773947
2026,กระทรวงเกษตรและสหกรณ์,7.114499153378606
2016,กระทรวงคมนาคม,
