cabinet_no,pm,ministry,minister,party,party_role,start_date,end_date
61,ประยุทธ์ จันทร์โอชา,กระทรวงการคลัง,สมหมาย ภาษี,none_junta,none,2557-08-30,2558-08-19
61,ประยุทธ์ จันทร์โอชา,กระทรวงการคลัง,อภิศักดิ์ ตันติวรวงศ์,none_junta,none,2558-08-19,2562-07-10
61,ประยุทธ์ จันทร์โอชา,กระทรวงพลังงาน,ณรงค์ชัย อัครเศรณี,none_junta,none,2557-08-30,2558-08-19
61,ประยุทธ์ จันทร์โอชา,กระทรวงพลังงาน,อนันตพร กาญจนรัตน์,none_junta,none,2558-08-19,2560-11-23
61,ประยุทธ์ จันทร์โอชา,กระทรวงพลังงาน,ศิริ จิระพงษ์พันธ์,none_junta,none,2560-11-23,2562-07-10
61,ประยุทธ์ จันทร์โอชา,กระทรวงคมนาคม,ประจิน จั่นตอง,none_junta,none,2557-08-30,2558-08-19
61,ประยุทธ์ จันทร์โอชา,กระทรวงคมนาคม,อาคม เติมพิทยาไพสิฐ,none_junta,none,2558-08-19,2562-07-10
61,ประยุทธ์ จันทร์โอชา,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,พรชัย รุจิประภา,none_junta,none,2557-08-30,2558-08-19
61,ประยุทธ์ จันทร์โอชา,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,อุตตม สาวนายน,none_junta,none,2558-08-19,2559-09-12
61,ประยุทธ์ จันทร์โอชา,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,พิเชฐ ดุรงคเวโรจน์,none_junta,none,2559-12-15,2562-07-10
61,ประยุทธ์ จันทร์โอชา,กระทรวงสาธารณสุข,รัชตะ รัชตะนาวิน,none_junta,none,2557-08-30,2558-08-19
61,ประยุทธ์ จันทร์โอชา,กระทรวงสาธารณสุข,ปิยะสกล สกลสัตยาทร,none_junta,none,2558-08-19,2562-07-10
61,ประยุทธ์ จันทร์โอชา,กระทรวงพาณิชย์,ฉัตรชัย สาริกัลยะ,none_junta,none,2557-08-30,2558-08-19
61,ประยุทธ์ จันทร์โอชา,กระทรวงพาณิชย์,อภิรดี ตันตราภรณ์,none_junta,none,2558-08-19,2560-11-23
61,ประยุทธ์ จันทร์โอชา,กระทรวงพาณิชย์,สนธิรัตน์ สนธิจิรวงศ์,none_junta,none,2560-11-23,2562-01-29
61,ประยุทธ์ จันทร์โอชา,กระทรวงเกษตรและสหกรณ์,ปีติพงศ์ พึ่งบุญ ณ อยุธยา,none_junta,none,2557-08-30,2558-08-19
61,ประยุทธ์ จันทร์โอชา,กระทรวงเกษตรและสหกรณ์,ฉัตรชัย สาริกัลยะ,none_junta,none,2558-08-19,2560-11-23
61,ประยุทธ์ จันทร์โอชา,กระทรวงเกษตรและสหกรณ์,กฤษฎา บุญราช,none_junta,none,2560-11-23,2562-07-10
61,ประยุทธ์ จันทร์โอชา,กระทรวงมหาดไทย,อนุพงษ์ เผ่าจินดา,none_junta,none,2557-08-30,2562-07-10
61,ประยุทธ์ จันทร์โอชา,กระทรวงอุตสาหกรรม,จักรมณฑ์ ผาสุกวนิช,none_junta,none,2557-08-30,2558-08-19
61,ประยุทธ์ จันทร์โอชา,กระทรวงอุตสาหกรรม,อรรชกา สีบุญเรือง,none_junta,none,2558-08-19,2559-12-15
61,ประยุทธ์ จันทร์โอชา,กระทรวงอุตสาหกรรม,อุตตม สาวนายน,none_junta,none,2559-12-15,2562-01-29
61,ประยุทธ์ จันทร์โอชา,กระทรวงการท่องเที่ยวและกีฬา,กอบกาญจน์ วัฒนวรางกูร,none_junta,none,2557-08-30,2560-11-23
61,ประยุทธ์ จันทร์โอชา,กระทรวงการท่องเที่ยวและกีฬา,วีระศักดิ์ โควสุรัตน์,none_junta,none,2560-11-23,2562-07-10
62,ประยุทธ์ จันทร์โอชา,กระทรวงการคลัง,อุตตม สาวนายน,พลังประชารัฐ,core,2562-07-10,2563-07-15
62,ประยุทธ์ จันทร์โอชา,กระทรวงการคลัง,ปรีดี ดาวฉาย,independent,independent,2563-08-05,2563-09-01
62,ประยุทธ์ จันทร์โอชา,กระทรวงการคลัง,อาคม เติมพิทยาไพสิฐ,independent,independent,2563-10-01,2566-09-01
62,ประยุทธ์ จันทร์โอชา,กระทรวงพลังงาน,สนธิรัตน์ สนธิจิรวงศ์,พลังประชารัฐ,core,2562-07-10,2563-07-15
62,ประยุทธ์ จันทร์โอชา,กระทรวงพลังงาน,สุพัฒนพงษ์ พันธ์มีเชาว์,independent_then_รวมไทยสร้างชาติ,independent,2563-08-05,2566-09-01
62,ประยุทธ์ จันทร์โอชา,กระทรวงคมนาคม,ศักดิ์สยาม ชิดชอบ,ภูมิใจไทย,coalition,2562-07-10,2566-03-03
62,ประยุทธ์ จันทร์โอชา,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,พุทธิพงษ์ ปุณณกันต์,พลังประชารัฐ,core,2562-07-10,2564-02-24
62,ประยุทธ์ จันทร์โอชา,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ชัยวุฒิ ธนาคมานุสรณ์,พลังประชารัฐ,core,2564-03-22,2566-09-01
62,ประยุทธ์ จันทร์โอชา,กระทรวงสาธารณสุข,อนุทิน ชาญวีรกูล,ภูมิใจไทย,coalition,2562-07-10,2566-09-01
62,ประยุทธ์ จันทร์โอชา,กระทรวงพาณิชย์,จุรินทร์ ลักษณวิศิษฏ์,ประชาธิปัตย์,coalition,2562-07-10,2566-09-01
62,ประยุทธ์ จันทร์โอชา,กระทรวงเกษตรและสหกรณ์,เฉลิมชัย ศรีอ่อน,ประชาธิปัตย์,coalition,2562-07-10,2566-09-01
62,ประยุทธ์ จันทร์โอชา,กระทรวงมหาดไทย,อนุพงษ์ เผ่าจินดา,independent,independent,2562-07-10,2566-09-01
62,ประยุทธ์ จันทร์โอชา,กระทรวงอุตสาหกรรม,สุริยะ จึงรุ่งเรืองกิจ,พลังประชารัฐ,core,2562-07-10,2566-03-17
62,ประยุทธ์ จันทร์โอชา,กระทรวงการท่องเที่ยวและกีฬา,พิพัฒน์ รัชกิจประการ,ภูมิใจไทย,coalition,2562-07-10,2566-09-01
63,เศรษฐา ทวีสิน,กระทรวงการคลัง,เศรษฐา ทวีสิน,เพื่อไทย,core,2566-09-01,2567-04-27
63,เศรษฐา ทวีสิน,กระทรวงการคลัง,พิชัย ชุณหวชิร,เพื่อไทย,core,2567-04-27,2567-09-03
63,เศรษฐา ทวีสิน,กระทรวงพลังงาน,พีระพันธุ์ สาลีรัฐวิภาค,รวมไทยสร้างชาติ,coalition,2566-09-01,2567-09-03
63,เศรษฐา ทวีสิน,กระทรวงคมนาคม,สุริยะ จึงรุ่งเรืองกิจ,เพื่อไทย,core,2566-09-01,2567-09-03
63,เศรษฐา ทวีสิน,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ประเสริฐ จันทรรวงทอง,เพื่อไทย,core,2566-09-01,2567-09-03
63,เศรษฐา ทวีสิน,กระทรวงสาธารณสุข,ชลน่าน ศรีแก้ว,เพื่อไทย,core,2566-09-01,2567-04-27
63,เศรษฐา ทวีสิน,กระทรวงสาธารณสุข,สมศักดิ์ เทพสุทิน,เพื่อไทย,core,2567-04-27,2567-09-03
63,เศรษฐา ทวีสิน,กระทรวงพาณิชย์,ภูมิธรรม เวชยชัย,เพื่อไทย,core,2566-09-01,2567-09-03
63,เศรษฐา ทวีสิน,กระทรวงเกษตรและสหกรณ์,ธรรมนัส พรหมเผ่า,พลังประชารัฐ,coalition,2566-09-01,2567-09-03
63,เศรษฐา ทวีสิน,กระทรวงมหาดไทย,อนุทิน ชาญวีรกูล,ภูมิใจไทย,coalition,2566-09-01,2567-09-03
63,เศรษฐา ทวีสิน,กระทรวงอุตสาหกรรม,พิมพ์ภัทรา วิชัยกุล,รวมไทยสร้างชาติ,coalition,2566-09-01,2567-09-03
63,เศรษฐา ทวีสิน,กระทรวงการท่องเที่ยวและกีฬา,สุดาวรรณ หวังศุภกิจโกศล,เพื่อไทย,core,2566-09-01,2567-04-27
63,เศรษฐา ทวีสิน,กระทรวงการท่องเที่ยวและกีฬา,เสริมศักดิ์ พงษ์พานิช,เพื่อไทย,core,2567-04-27,2567-09-03
64,แพทองธาร ชินวัตร,กระทรวงการคลัง,พิชัย ชุณหวชิร,เพื่อไทย,core,2567-09-03,2568-09-19
64,แพทองธาร ชินวัตร,กระทรวงพลังงาน,พีระพันธุ์ สาลีรัฐวิภาค,รวมไทยสร้างชาติ,coalition,2567-09-03,2568-09-19
64,แพทองธาร ชินวัตร,กระทรวงคมนาคม,สุริยะ จึงรุ่งเรืองกิจ,เพื่อไทย,core,2567-09-03,2568-09-19
64,แพทองธาร ชินวัตร,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ประเสริฐ จันทรรวงทอง,เพื่อไทย,core,2567-09-03,2568-09-19
64,แพทองธาร ชินวัตร,กระทรวงสาธารณสุข,สมศักดิ์ เทพสุทิน,เพื่อไทย,core,2567-09-03,2568-09-19
64,แพทองธาร ชินวัตร,กระทรวงพาณิชย์,พิชัย นริพทะพันธุ์,เพื่อไทย,core,2567-09-03,2568-06-30
64,แพทองธาร ชินวัตร,กระทรวงพาณิชย์,จตุพร บุรุษพัฒน์,independent,independent,2568-06-30,2568-09-19
64,แพทองธาร ชินวัตร,กระทรวงเกษตรและสหกรณ์,นฤมล ภิญโญสินวัฒน์,กล้าธรรม,coalition,2567-09-03,2568-06-30
64,แพทองธาร ชินวัตร,กระทรวงเกษตรและสหกรณ์,อรรถกร ศิริลัทธยากร,กล้าธรรม,coalition,2568-06-30,2568-09-19
64,แพทองธาร ชินวัตร,กระทรวงมหาดไทย,อนุทิน ชาญวีรกูล,ภูมิใจไทย,coalition,2567-09-03,2568-06-19
64,แพทองธาร ชินวัตร,กระทรวงมหาดไทย,ภูมิธรรม เวชยชัย,เพื่อไทย,core,2568-06-30,2568-09-19
64,แพทองธาร ชินวัตร,กระทรวงอุตสาหกรรม,เอกนัฏ พร้อมพันธุ์,รวมไทยสร้างชาติ,coalition,2567-09-03,2568-09-19
64,แพทองธาร ชินวัตร,กระทรวงการท่องเที่ยวและกีฬา,สรวงศ์ เทียนทอง,เพื่อไทย,core,2567-09-03,2568-09-19
65,อนุทิน ชาญวีรกูล,กระทรวงการคลัง,เอกนิติ นิติทัณฑ์ประภาศ,ภูมิใจไทย,core,2568-09-19,2569-03-30
65,อนุทิน ชาญวีรกูล,กระทรวงพลังงาน,อรรถพล ฤกษ์พิบูลย์,independent,independent,2568-09-19,2569-03-30
65,อนุทิน ชาญวีรกูล,กระทรวงคมนาคม,พิพัฒน์ รัชกิจประการ,ภูมิใจไทย,core,2568-09-19,2569-03-30
65,อนุทิน ชาญวีรกูล,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ไชยชนก ชิดชอบ,ภูมิใจไทย,core,2568-09-19,2569-03-30
65,อนุทิน ชาญวีรกูล,กระทรวงสาธารณสุข,พัฒนา พร้อมพัฒน์,พลังประชารัฐ_then_ภูมิใจไทย,core,2568-09-19,2569-03-30
65,อนุทิน ชาญวีรกูล,กระทรวงพาณิชย์,ศุภจี สุธรรมพันธุ์,ภูมิใจไทย,core,2568-09-19,2569-03-30
65,อนุทิน ชาญวีรกูล,กระทรวงเกษตรและสหกรณ์,ธรรมนัส พรหมเผ่า,กล้าธรรม,coalition,2568-09-19,2569-03-30
