ministry,label_en,n_years,old_simple_r,new_simple_r_full_data
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,Digital Economy,10,0.418,0.4222646522980699
กระทรวงคมนาคม,Transport,10,0.239,0.23530588596234925
กระทรวงสาธารณสุข,Public Health,10,0.175,0.1906728874583986
กระทรวงการคลัง,Finance,10,0.292,0.08829266636957339
กระทรวงอุตสาหกรรม,Industry,10,-0.007,-0.00853525990723751
กระทรวงพลังงาน,Energy,10,0.03,-0.039994857448123824
กระทรวงการท่องเที่ยวและกีฬา,Tourism & Sports,10,-0.061,-0.0791904231842351
กระทรวงมหาดไทย,Interior,10,-0.196,-0.17661387268237003
กระทรวงพาณิชย์,Commerce,10,-0.602,-0.1901074809106338
กระทรวงเกษตรและสหกรณ์,Agriculture,10,-0.477,-0.45664984513528784
