node,node_type,degree,weighted_degree,betweenness,eigenvector,pagerank
กระทรวงพลังงาน,ministry,0.1724137931034483,15.458616438356163,0.381071964017991,4.5376568918069997e-05,0.07358067298848854
กระทรวงพาณิชย์,ministry,0.12068965517241378,13.87131506849315,0.3644677661169415,0.0024742959240260983,0.051960663665130344
กระทรวงอุตสาหกรรม,ministry,0.08620689655172414,11.07104109589041,0.35371064467766117,3.030386698484104e-06,0.03989195694076462
กระทรวงเกษตรและสหกรณ์,ministry,0.10344827586206896,13.064150684931505,0.27042728635682156,8.852823564329108e-05,0.04540430670807451
กระทรวงการคลัง,ministry,0.1724137931034483,15.539424657534248,0.26780359820089955,2.553014566700269e-06,0.06819550855565579
อุตตม สาวนายน,minister,0.02586206896551724,4.208219178082191,0.24385307346326834,1.1861128894846814e-06,0.0145204315465273
เอกนัฏ พร้อมพันธุ์,minister,0.017241379310344827,1.347945205479452,0.21859070464767616,1.8288308352644847e-06,0.005737541652840839
สุริยะ จึงรุ่งเรืองกิจ,minister,0.02586206896551724,6.043835616438357,0.213455772113943,5.356571123790572e-06,0.018895866887755176
กระทรวงมหาดไทย,ministry,0.07758620689655173,13.869013698630138,0.17421289355322336,0.6934685320365119,0.03646369254363245
ภูมิธรรม เวชยชัย,minister,0.017241379310344827,1.23013698630137,0.16917166416791604,0.016380201734550612,0.005016305777555377
สนธิรัตน์ สนธิจิรวงศ์,minister,0.017241379310344827,2.2,0.1252998500749625,0.00031156520099157953,0.00919062359768759
อรรถกร ศิริลัทธยากร,minister,0.017241379310344827,0.747945205479452,0.10974512743628186,2.128495039202247e-06,0.0034175852469806554
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ministry,0.07758620689655173,12.207383561643834,0.10644677661169415,2.776622431928071e-07,0.039201748571904185
กระทรวงการท่องเที่ยวและกีฬา,ministry,0.07758620689655173,11.954150684931506,0.10022488755622189,9.679461487507863e-07,0.03881092833315965
ฉัตรชัย สาริกัลยะ,minister,0.017241379310344827,3.235616438356164,0.09853823088455771,0.0002723788025193462,0.011090899334918193
กระทรวงคมนาคม,ministry,0.06896551724137931,11.897520547945206,0.0906671664167916,4.3037307890341335e-06,0.03679603457652745
อนุทิน ชาญวีรกูล,minister,0.017241379310344827,6.778082191780822,0.09040479760119939,0.25110758325466587,0.01715158064672698
กระทรวงสาธารณสุข,ministry,0.06896551724137931,12.191150684931507,0.08330209895052473,0.13826048042422806,0.034456487895373575
อาคม เติมพิทยาไพสิฐ,minister,0.017241379310344827,6.810958904109589,0.023088455772113943,3.290548439826365e-06,0.02242683102823614
TRUE,stock,0.008620689655172414,0.55,0.0,2.0824760246001548e-08,0.0028117113696431864
ADVANC,stock,0.008620689655172414,0.093,0.0,3.5212776415966247e-09,0.001564437571973099
BANPU,stock,0.008620689655172414,0.204,0.0,9.697361416331765e-07,0.002135890781680707
BCP,stock,0.008620689655172414,0.195,0.0,9.269536647964189e-07,0.0020994815996733997
EGCO,stock,0.008620689655172414,0.497,0.0,2.3625434430965134e-06,0.0033212119292519377
GPSC,stock,0.008620689655172414,0.1,0.0,4.7536085374175333e-07,0.0017151624562629325
GULF,stock,0.008620689655172414,0.0,0.0,5.008715748083513e-45,0.0013106159895150723
IVL,stock,0.008620689655172414,0.268,0.0,1.2739670880278988e-06,0.0023948005203993377
OR,stock,0.008620689655172414,0.146,0.0,6.940268464629597e-07,0.0019012538309669483
PTT,stock,0.008620689655172414,0.597,0.0,2.8379042968382673e-06,0.0037257583959997976
PTTEP,stock,0.008620689655172414,0.789,0.0,3.750597136022434e-06,0.00450248761215569
PTTGC,stock,0.008620689655172414,0.458,0.0,2.17715271013723e-06,0.003163438807220272
RATCH,stock,0.008620689655172414,0.315,0.0,1.4973866892865228e-06,0.002584937359770832
