symbol,as_of_date,source_url
ADVANC,02 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/ADVANC/major-shareholders
AOT,12 ธ.ค. 2568,https://www.set.or.th/th/market/product/stock/quote/AOT/major-shareholders
AWC,08 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/AWC/major-shareholders
BANPU,05 มิ.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/BANPU/major-shareholders
BBL,23 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/BBL/major-shareholders
BDMS,11 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/BDMS/major-shareholders
BEM,11 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/BEM/major-shareholders
BH,18 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/BH/major-shareholders
BJC,30 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/BJC/major-shareholders
BTS,19 มิ.ย. 2568,https://www.set.or.th/th/market/product/stock/quote/BTS/major-shareholders
CBG,06 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/CBG/major-shareholders
CCET,20 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/CCET/major-shareholders
CENTEL,07 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/CENTEL/major-shareholders
COM7,11 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/COM7/major-shareholders
CPALL,05 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/CPALL/major-shareholders
CPF,06 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/CPF/major-shareholders
CPN,10 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/CPN/major-shareholders
CRC,22 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/CRC/major-shareholders
DELTA,27 ก.พ. 2569,https://www.set.or.th/th/market/product/stock/quote/DELTA/major-shareholders
EGCO,16 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/EGCO/major-shareholders
GPSC,26 ก.พ. 2569,https://www.set.or.th/th/market/product/stock/quote/GPSC/major-shareholders
GULF,04 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/GULF/major-shareholders
HMPRO,23 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/HMPRO/major-shareholders
IVL,29 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/IVL/major-shareholders
KBANK,22 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/KBANK/major-shareholders
KKP,30 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/KKP/major-shareholders
KTB,16 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/KTB/major-shareholders
KTC,16 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/KTC/major-shareholders
LH,30 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/LH/major-shareholders
MINT,06 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/MINT/major-shareholders
MTC,29 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/MTC/major-shareholders
OR,24 ก.พ. 2569,https://www.set.or.th/th/market/product/stock/quote/OR/major-shareholders
OSP,08 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/OSP/major-shareholders
PTT,06 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/PTT/major-shareholders
PTTEP,24 ก.พ. 2569,https://www.set.or.th/th/market/product/stock/quote/PTTEP/major-shareholders
PTTGC,25 ก.พ. 2569,https://www.set.or.th/th/market/product/stock/quote/PTTGC/major-shareholders
RATCH,13 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/RATCH/major-shareholders
SAWAD,08 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/SAWAD/major-shareholders
SCB,21 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/SCB/major-shareholders
SCC,02 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/SCC/major-shareholders
SCGP,01 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/SCGP/major-shareholders
TCAP,17 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/TCAP/major-shareholders
TIDLOR,04 มิ.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/TIDLOR/major-shareholders
TISCO,30 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/TISCO/major-shareholders
TLI,08 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/TLI/major-shareholders
TOP,26 ก.พ. 2569,https://www.set.or.th/th/market/product/stock/quote/TOP/major-shareholders
TRUE,21 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/TRUE/major-shareholders
TTB,28 เม.ย. 2569,https://www.set.or.th/th/market/product/stock/quote/TTB/major-shareholders
TU,04 มี.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/TU/major-shareholders
WHA,12 พ.ค. 2569,https://www.set.or.th/th/market/product/stock/quote/WHA/major-shareholders
